==6777== NVPROF is profiling process 6777, command: python3 main.py --epochs 1
==6777== Profiling application: python3 main.py --epochs 1
==6777== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,KB,MB,GB/s,,,,,,
1.972220,0.001568,,,,,,,,,,0.001099,0.684237,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1.972391,0.000896,,,,,,,,,,0.000122,0.133046,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1.972490,0.024768,,,,,,,,,,0.070312,2.772309,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1.972580,0.000928,,,,,,,,,,0.000244,0.256917,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1.973000,1.438101,,,,,,,,,,4.500000,3.055788,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1.974636,0.001248,,,,,,,,,,0.000488,0.382081,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1.974704,0.002048,,,,,,,,,,0.004883,2.328306,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
1.974757,0.000960,,,,,,,,,,0.000038,0.038805,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2.021830,0.062881,,,,,,,,,,0.191406,2.972602,"Pinned","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2.022292,0.000928,,,,,,,,,,0.000488,0.513833,"Pinned","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2.743918,0.003712,,,,,,,,,,0.002319,0.610177,"Device",,"Tesla K20c (0)","1","23","[CUDA memset]"
2.743994,0.000928,,,,,,,,,,0.000107,0.112401,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2.744207,0.124194,1352,1,1,8,8,1,64,2.250000,0.000000,,,,,"Tesla K20c (0)","1","7","void cudnn::detail::implicit_convolve_sgemm<float, float, int=1024, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>(int, int, int, float const *, int, float*, cudnn::detail::implicit_convolve_sgemm<float, float, int=1024, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>*, kernel_conv_params, int, float, float, int, float, float, int, int) [767]"
2.744380,0.156483,5408,1,1,64,1,1,17,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native6modern27unrolled_elementwise_kernelIZZZNS0_15add_kernel_cudaERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE2_clEvEUlffE_NS_6detail5ArrayIPcLi3EEE16OffsetCalculatorILi2EjESE_ILi1EjEEEviT_T0_T1_T2_ [783]"
2.744558,0.074049,5408,1,1,64,1,1,18,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native6modern29vectorized_elementwise_kernelILi4EZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_NS_6detail5ArrayIPcLi3EEEEEviT0_T1_ [800]"
2.745287,0.156674,16,32,1,256,1,1,57,22.125000,0.000000,,,,,"Tesla K20c (0)","1","7","void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<float, float>) [829]"
2.745451,0.008096,1,8,1,32,8,1,40,9.000000,0.000000,,,,,"Tesla K20c (0)","1","7","void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<float, float>) [832]"
2.745462,0.022432,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","17","sgemm_sm35_ldg_nn_64x16x64x16x16 [892]"
2.745466,0.039201,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","18","sgemm_sm35_ldg_nn_64x16x64x16x16 [909]"
2.745485,0.031233,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","19","sgemm_sm35_ldg_nn_64x16x64x16x16 [926]"
2.745501,0.027200,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","15","sgemm_sm35_ldg_nn_64x16x64x16x16 [858]"
2.745515,0.023040,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","16","sgemm_sm35_ldg_nn_64x16x64x16x16 [875]"
2.745524,0.030816,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","20","sgemm_sm35_ldg_nn_64x16x64x16x16 [943]"
2.745538,0.026273,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","21","sgemm_sm35_ldg_nn_64x16x64x16x16 [960]"
2.745552,0.026049,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","22","sgemm_sm35_ldg_nn_64x16x64x16x16 [977]"
2.745563,0.024224,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","15","sgemm_sm35_ldg_nn_64x16x64x16x16 [994]"
2.745575,0.026752,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","16","sgemm_sm35_ldg_nn_64x16x64x16x16 [1011]"
2.745587,0.026784,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","17","sgemm_sm35_ldg_nn_64x16x64x16x16 [1028]"
2.745601,0.025280,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","18","sgemm_sm35_ldg_nn_64x16x64x16x16 [1045]"
2.745613,0.024673,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","19","sgemm_sm35_ldg_nn_64x16x64x16x16 [1062]"
2.745624,0.028481,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","20","sgemm_sm35_ldg_nn_64x16x64x16x16 [1079]"
2.745636,0.026816,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","22","sgemm_sm35_ldg_nn_64x16x64x16x16 [1113]"
2.745650,0.024608,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","21","sgemm_sm35_ldg_nn_64x16x64x16x16 [1096]"
2.745662,0.025088,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","15","sgemm_sm35_ldg_nn_64x16x64x16x16 [1130]"
2.745674,0.025697,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","16","sgemm_sm35_ldg_nn_64x16x64x16x16 [1147]"
2.745685,0.026529,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","17","sgemm_sm35_ldg_nn_64x16x64x16x16 [1164]"
2.745698,0.025536,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","18","sgemm_sm35_ldg_nn_64x16x64x16x16 [1181]"
2.745710,0.027712,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","19","sgemm_sm35_ldg_nn_64x16x64x16x16 [1198]"
2.745723,0.023552,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","20","sgemm_sm35_ldg_nn_64x16x64x16x16 [1215]"
2.745733,0.027072,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","22","sgemm_sm35_ldg_nn_64x16x64x16x16 [1249]"
2.745746,0.026369,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","21","sgemm_sm35_ldg_nn_64x16x64x16x16 [1232]"
2.745759,0.028897,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","15","sgemm_sm35_ldg_nn_64x16x64x16x16 [1266]"
2.745771,0.024448,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","16","sgemm_sm35_ldg_nn_64x16x64x16x16 [1283]"
2.745784,0.025536,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","17","sgemm_sm35_ldg_nn_64x16x64x16x16 [1300]"
2.745795,0.026496,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","18","sgemm_sm35_ldg_nn_64x16x64x16x16 [1317]"
2.745808,0.027777,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","19","sgemm_sm35_ldg_nn_64x16x64x16x16 [1334]"
2.745820,0.025537,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","20","sgemm_sm35_ldg_nn_64x16x64x16x16 [1351]"
2.745834,0.023745,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","21","sgemm_sm35_ldg_nn_64x16x64x16x16 [1368]"
2.745844,0.026144,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","22","sgemm_sm35_ldg_nn_64x16x64x16x16 [1385]"
2.745857,0.028736,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","15","sgemm_sm35_ldg_nn_64x16x64x16x16 [1402]"
2.745869,0.023936,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","16","sgemm_sm35_ldg_nn_64x16x64x16x16 [1419]"
2.745882,0.024193,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","17","sgemm_sm35_ldg_nn_64x16x64x16x16 [1436]"
2.745893,0.024801,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","18","sgemm_sm35_ldg_nn_64x16x64x16x16 [1453]"
2.745927,0.382693,16,64,1,256,1,1,67,16.250000,0.000000,,,,,"Tesla K20c (0)","1","7","void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>) [1473]"
2.746313,0.257796,9216,1,1,64,1,1,17,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native6modern27unrolled_elementwise_kernelIZZZNS0_15add_kernel_cudaERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE2_clEvEUlffE_NS_6detail5ArrayIPcLi3EEE16OffsetCalculatorILi2EjESE_ILi1EjEEEviT_T0_T1_T2_ [1488]"
2.746585,0.124546,9216,1,1,64,1,1,18,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native6modern29vectorized_elementwise_kernelILi4EZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_NS_6detail5ArrayIPcLi3EEEEEviT0_T1_ [1505]"
2.746722,0.143203,2304,1,1,256,1,1,27,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","void at::native::_GLOBAL__N__51_tmpxft_00004b77_00000000_6_DilatedMaxPool2d_cpp1_ii_db999de0::max_pool_forward_nchw<float, float>(int, float const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, at::native::_GLOBAL__N__51_tmpxft_00004b77_00000000_6_DilatedMaxPool2d_cpp1_ii_db999de0::max_pool_forward_nchw<float, float>*, long*) [1550]"
2.746870,0.007040,16,1,1,256,1,1,39,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN80_GLOBAL__N__56_tmpxft_00004c4e_00000000_6_DistributionBernoulli_cpp1_ii_7b61286743distribution_elementwise_grid_stride_kernelIfLi4EZZZN2at6native28bernoulli_scalar_cuda_kernelERNS1_14TensorIteratorEdN3c108optionalINS1_9GeneratorEEEENKUlvE_clEvENKUlvE2_clEvEUlP24curandStatePhilox4_32_10E0_ZNS_27distribution_nullary_kernelIffLi4EPNS1_17CUDAGeneratorImplESD_ZZZNS2_28bernoulli_scalar_cuda_kernelES4_dS8_ENKS9_clEvENKSA_clEvEUlfE_EEvS4_T2_RKT3_T4_EUlifE_EEviSt4pairImmET1_SI_ [1569]"
2.746880,0.003200,16,1,1,64,1,1,12,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native6modern29vectorized_elementwise_kernelILi4EZZZNS0_15div_kernel_cudaERNS_14TensorIteratorEENKUlvE_clEvENKUlvE0_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_ [1579]"
2.746887,0.056289,2304,1,1,64,1,1,17,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native6modern27unrolled_elementwise_kernelIZZZNS0_15mul_kernel_cudaERNS_14TensorIteratorEENKUlvE_clEvENKUlvE2_clEvEUlffE_NS_6detail5ArrayIPcLi3EEE16OffsetCalculatorILi2EjESC_ILi1EjEEEviT_T0_T1_T2_ [1595]"
2.746947,0.010720,32,1,1,64,1,1,13,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native6modern27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE_clEvENKUlvE2_clEvEUlfE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjESD_EEviT_T0_T1_T2_ [1615]"
2.973932,0.001312,,,,,,,,,,0.000107,0.079503,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2.974007,0.000928,,,,,,,,,,0.000061,0.064229,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2.974042,0.007456,2,2,1,256,1,1,32,8.000000,0.000000,,,,,"Tesla K20c (0)","1","7","void scal_kernel<float, float, int=1, bool=0, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *) [1853]"
2.974062,0.240995,4,2,9,16,16,1,40,4.253906,0.000000,,,,,"Tesla K20c (0)","1","7","void sgemm_largek_lds64<bool=1, bool=0, int=5, int=5, int=4, int=4, int=4, int=34>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*) [1874]"
2.974307,0.004704,32,1,1,64,1,1,18,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native6modern29vectorized_elementwise_kernelILi4EZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_NS_6detail5ArrayIPcLi3EEEEEviT0_T1_ [1889]"
2.974317,0.008096,32,1,1,256,1,1,39,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN80_GLOBAL__N__56_tmpxft_00004c4e_00000000_6_DistributionBernoulli_cpp1_ii_7b61286743distribution_elementwise_grid_stride_kernelIfLi4EZZZN2at6native28bernoulli_scalar_cuda_kernelERNS1_14TensorIteratorEdN3c108optionalINS1_9GeneratorEEEENKUlvE_clEvENKUlvE2_clEvEUlP24curandStatePhilox4_32_10E0_ZNS_27distribution_nullary_kernelIffLi4EPNS1_17CUDAGeneratorImplESD_ZZZNS2_28bernoulli_scalar_cuda_kernelES4_dS8_ENKS9_clEvENKSA_clEvEUlfE_EEvS4_T2_RKT3_T4_EUlifE_EEviSt4pairImmET1_SI_ [1908]"
2.974350,0.003104,32,1,1,64,1,1,12,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native6modern29vectorized_elementwise_kernelILi4EZZZNS0_15div_kernel_cudaERNS_14TensorIteratorEENKUlvE_clEvENKUlvE0_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_ [1918]"
2.974394,0.002753,32,1,1,64,1,1,16,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native6modern29vectorized_elementwise_kernelILi4EZZZNS0_15mul_kernel_cudaERNS_14TensorIteratorEENKUlvE_clEvENKUlvE2_clEvEUlffE_NS_6detail5ArrayIPcLi3EEEEEviT0_T1_ [1932]"
2.974543,0.009120,3,1,1,64,1,1,13,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native6modern27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE_clEvENKUlvE2_clEvEUlfE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjESD_EEviT_T0_T1_T2_ [1950]"
2.974576,0.040993,1,1,1,8,16,1,77,6.519531,0.000000,,,,,"Tesla K20c (0)","1","7","sgemm_sm35_ldg_tn_32x16x64x8x16 [1971]"
2.974709,0.005216,4,1,1,16,8,1,17,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","void _GLOBAL__N__42_tmpxft_00005302_00000000_6_SoftMax_cpp1_ii_a3310042::softmax_warp_forward<float, float, float, int=4, bool=1>(float*, float const *, int, int, int) [1990]"
2.974871,0.008737,1,1,1,32,1,1,29,0.250000,0.000000,,,,,"Tesla K20c (0)","1","7","void cunn_ClassNLLCriterion_updateOutput_kernel<float, float>(float*, float*, float*, long*, float*, int, int, int, int, long) [2018]"
2.975037,0.002048,1,1,1,64,1,1,8,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native6modern29vectorized_elementwise_kernelILi4EZZZNS0_16fill_kernel_cudaERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE2_clEvEUlvE_NS_6detail5ArrayIPcLi1EEEEEviT0_T1_ [2038]"
2.975394,0.002944,,,,,,,,,,0.002441,0.809846,"Device",,"Tesla K20c (0)","1","7","[CUDA memset]"
2.975430,0.006112,1,1,1,32,1,1,21,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","void cunn_ClassNLLCriterion_updateGradInput_kernel<float>(float*, float*, long*, float*, float*, int, int, int, int, long) [2069]"
2.975503,0.003680,4,1,1,16,8,1,17,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","void _GLOBAL__N__42_tmpxft_00005302_00000000_6_SoftMax_cpp1_ii_a3310042::softmax_warp_backward<float, float, float, int=4, bool=1>(float*, float const *, float const , int, int, int) [2093]"
2.975652,0.000928,,,,,,,,,,0.000107,0.112401,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2.975721,0.015488,2,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","7","sgemm_sm35_ldg_nn_64x16x64x16x16 [2153]"
2.975768,0.024576,2,1,1,16,16,1,71,8.019531,0.000000,,,,,"Tesla K20c (0)","1","7","sgemm_sm35_ldg_nt_64x16x64x16x16 [2178]"
2.975848,0.015968,1,1,1,8,64,1,29,0.015625,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native13reduce_kernelILi512ENS0_8ReduceOpIfNS0_14func_wrapper_tIfZNS0_15sum_kernel_implIfffEEvRNS_14TensorIteratorEEUlffE_EEjfLi4EEEEEvT0_ [2192]"
2.975927,0.002240,32,1,1,64,1,1,16,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native6modern29vectorized_elementwise_kernelILi4EZZZNS0_15mul_kernel_cudaERNS_14TensorIteratorEENKUlvE_clEvENKUlvE2_clEvEUlffE_NS_6detail5ArrayIPcLi3EEEEEviT0_T1_ [2213]"
2.975986,0.002336,32,1,1,64,1,1,18,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native6modern29vectorized_elementwise_kernelILi4EZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_NS_6detail5ArrayIPcLi3EEEEEviT0_T1_ [2228]"
2.976031,0.139554,144,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","7","sgemm_sm35_ldg_nn_64x16x64x16x16 [2255]"
2.976174,0.133794,72,1,1,16,16,1,127,8.019531,0.000000,,,,,"Tesla K20c (0)","1","7","sgemm_sm35_ldg_nt_128x8x128x16x16 [2280]"
2.976312,0.016673,1,1,1,32,16,1,29,0.015625,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native13reduce_kernelILi512ENS0_8ReduceOpIfNS0_14func_wrapper_tIfZNS0_15sum_kernel_implIfffEEvRNS_14TensorIteratorEEUlffE_EEjfLi4EEEEEvT0_ [2294]"
2.976332,0.056449,2304,1,1,64,1,1,17,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native6modern27unrolled_elementwise_kernelIZZZNS0_15mul_kernel_cudaERNS_14TensorIteratorEENKUlvE_clEvENKUlvE2_clEvEUlffE_NS_6detail5ArrayIPcLi3EEE16OffsetCalculatorILi2EjESC_ILi1EjEEEviT_T0_T1_T2_ [2319]"
2.976392,0.058561,9216,1,1,64,1,1,8,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native6modern29vectorized_elementwise_kernelILi4EZZZNS0_16fill_kernel_cudaERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE2_clEvEUlvE_NS_6detail5ArrayIPcLi1EEEEEviT0_T1_ [2336]"
2.976456,0.607272,3,64,64,256,1,1,32,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","void at::native::_GLOBAL__N__51_tmpxft_00004b77_00000000_6_DilatedMaxPool2d_cpp1_ii_db999de0::max_pool_backward_nchw<float, float>(int, float const *, long const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, at::native::_GLOBAL__N__51_tmpxft_00004b77_00000000_6_DilatedMaxPool2d_cpp1_ii_db999de0::max_pool_backward_nchw<float, float>*) [2366]"
2.976497,0.002496,,,,,,,,,,0.002319,0.907443,"Device",,"Tesla K20c (0)","1","32","[CUDA memset]"
2.977066,0.190947,9216,1,1,64,1,1,18,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native6modern29vectorized_elementwise_kernelILi4EZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_NS_6detail5ArrayIPcLi3EEEEEviT0_T1_ [2381]"
2.977260,0.095490,64,1,1,32,16,1,29,0.015625,2.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native13reduce_kernelILi512ENS0_8ReduceOpIfNS0_14func_wrapper_tIfZNS0_15sum_kernel_implIfffEEvRNS_14TensorIteratorEEUlffE_EEjfLi4EEEEEvT0_ [2397]"
2.977369,0.000928,,,,,,,,,,0.000107,0.112401,"Pageable","Device","Tesla K20c (0)","1","7","[CUDA memcpy HtoD]"
2.977795,0.390054,16,64,1,256,1,1,57,22.125000,0.000000,,,,,"Tesla K20c (0)","1","7","void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<float, float>) [2504]"
2.978199,0.008032,1,8,1,32,8,1,40,9.000000,0.000000,,,,,"Tesla K20c (0)","1","7","void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<float, float>) [2507]"
